player_code,xm_override,cs_pct_override,bps_profile,tenure_discount,npxg90_rescue,xa90_rescue,dc90_rescue,note
116535,0.90,0.235,1.00,0.78,,,,"TEST RUN UPDATE (30 Aug 2026, expanded to full-PL new-manager pass). Step 6 base blend: 0.5x Liverpool 2025-26 own PL clean-sheet rate 26.3% (10/38) + 0.5x Andoni Iraola's final Bournemouth season CS rate 28.9% (11/38) = 27.6% historical base; Iraola confirmed Liverpool head coach, re-verified via LiverpoolFC.com, Sky Sports and ESPN, 30 Aug 2026. Step 0 Post-GW Calibration: GW1 (away, Newcastle 2-2) and GW2 (home, Nott'm Forest 2-2) both produced 0 clean sheets / 2 goals conceded each -- 2 straight misses in the same direction, raised as a candidate correction per Step 0, not filed silently. Applied Decay Schedule GW2-3 (85% historical / 15% current-season): 0.85x27.6% + 0.15x0% = 23.5%. Mechanism-specific finding (2+ sources): NBC Sports and SI.com both diagnose a transition-defense flaw -- Gravenberch/Szoboszlai vacate the pivot, full-backs pushed high, Van Dijk/Jacquet exposed on counters; SI.com: Liverpool have conceded the 2nd-most counter-attack goals in the PL since start of 2025-26 (7, behind only Sunderland's 8). Countervailing signal logged (Rule #2): Iraola's own presser (AnfieldIndex) blames execution not personnel and is reportedly trialling Mac Allister as a deeper pivot -- re-verify after GW3, this discount may partially reverse. Tagged EST throughout. Sources: nbcsports.com/soccer/news/liverpools-biggest-issue-ruthlessly-exposed-at-newcastle-how-can-iraola-fix-it ; si.com/soccer/three-ways-andoni-iraola-fix-liverpool-fatal-flaw ; anfieldindex.com/98566 ; thisisanfield.com match report 23 Aug 2026 ; olbauday/FPL-Core-Insights GW1+GW2 player_gameweek_stats.csv + matches.csv. Applied identically to every currently-available (status=a) Liverpool GK/DEF per Rule #22. Alisson Becker: confirmed starter, 90 min GW1, xM Floor Rule applies directly. | xm_override added 30 Aug 2026 (TEST RUN, xm follow-up): Step 4 xM Floor Rule -- A.Becker has an actual current-season confirmed start (2/2 GW starts, ~full minutes both (undisputed)), source: olbauday/FPL-Core-Insights playerstats.csv gw=2 snapshot (id=350), fetched fresh this run, not the historical vaastav mirror. Floor set to 0.90 per Step 4, decoupled from prior-season minutes. Not permanent -- Step 0 rechecks weekly, drops if benched/injured. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile: 1.00 (GK -- BPS tackled-penalty rule change doesn't apply to goalkeepers)."
449027,,0.235,1.00,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. 3rd-choice/rotation keeper (0 min GW1-2, status=a) -- CS% base applies per Rule #22 regardless of starting status. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile: 1.00 (GK -- BPS tackled-penalty rule change doesn't apply to goalkeepers)."
155503,,0.235,1.00,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Woodman: 0 min GW1-2, status=a. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile: 1.00 (GK -- BPS tackled-penalty rule change doesn't apply to goalkeepers)."
464353,,0.235,1.00,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Davies: 0 min GW1-2, status=a. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile: 1.00 (GK -- BPS tackled-penalty rule change doesn't apply to goalkeepers)."
97032,0.90,0.235,0.95,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Van Dijk: directly named in NBC Sports' diagnosed mechanism as the CB left exposed on counters -- confirmed starter, 90 min GW1. | xm_override added 30 Aug 2026 (TEST RUN, xm follow-up): Step 4 xM Floor Rule -- Virgil has an actual current-season confirmed start (2/2 GW starts, ~full minutes both (undisputed)), source: olbauday/FPL-Core-Insights playerstats.csv gw=2 snapshot (id=356), fetched fresh this run, not the historical vaastav mirror. Floor set to 0.90 per Step 4, decoupled from prior-season minutes. Not permanent -- Step 0 rechecks weekly, drops if benched/injured. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile added 30 Aug 2026 (TEST RUN, follow-up): 0.95 -- Virgil van Dijk -- elite defensive centre-back, archetypal high-CBI profile (EST, role read from established playing history, not yet 2026-27 match-confirmed)."
216094,0.85,0.235,1.06,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Frimpong: one of the advancing full-backs named in the diagnosed mechanism -- confirmed starter, 90 min GW1. | xm_override added 30 Aug 2026 (TEST RUN, xm follow-up): Step 4 xM Floor Rule -- Frimpong has an actual current-season confirmed start (2/2 GW starts, 160 total min (confirmed but not fully undisputed)), source: olbauday/FPL-Core-Insights playerstats.csv gw=2 snapshot (id=357), fetched fresh this run, not the historical vaastav mirror. Floor set to 0.85 per Step 4, decoupled from prior-season minutes. Not permanent -- Step 0 rechecks weekly, drops if benched/injured. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile added 30 Aug 2026 (TEST RUN, follow-up): 1.06 -- Jeremie Frimpong -- elite attacking right wing-back (ex-Leverkusen), archetypal high-dribble profile (EST, role read from established playing history, not yet 2026-27 match-confirmed)."
544877,0.85,0.235,1.06,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Kerkez: the other advancing full-back named in the diagnosed mechanism -- confirmed starter, 90 min GW1. | xm_override added 30 Aug 2026 (TEST RUN, xm follow-up): Step 4 xM Floor Rule -- Kerkez has an actual current-season confirmed start (2/2 GW starts, 160 total min (confirmed but not fully undisputed)), source: olbauday/FPL-Core-Insights playerstats.csv gw=2 snapshot (id=358), fetched fresh this run, not the historical vaastav mirror. Floor set to 0.85 per Step 4, decoupled from prior-season minutes. Not permanent -- Step 0 rechecks weekly, drops if benched/injured. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool. | bps_profile added 30 Aug 2026 (TEST RUN, follow-up): 1.06 -- Milos Kerkez -- attacking left-back (ex-Bournemouth) (EST, role read from established playing history, not yet 2026-27 match-confirmed)."
519440,,0.235,,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Lucky: 0 min GW1-2, status=a, deep rotation option. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool."
606702,0.85,0.235,,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Jacquet: directly named alongside Van Dijk in NBC Sports' diagnosed mechanism -- confirmed starter, 69 min GW1, xM Floor Rule applies. | xm_override added 30 Aug 2026 (TEST RUN, xm follow-up): Step 4 xM Floor Rule -- Jacquet has an actual current-season confirmed start (2/2 GW starts, 145 total min (confirmed but not fully undisputed)), source: olbauday/FPL-Core-Insights playerstats.csv gw=2 snapshot (id=362), fetched fresh this run, not the historical vaastav mirror. Floor set to 0.85 per Step 4, decoupled from prior-season minutes. Not permanent -- Step 0 rechecks weekly, drops if benched/injured. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool."
214285,,0.235,,0.78,,,,"TEST RUN UPDATE (30 Aug 2026) -- same Liverpool manager-transition CS% blend as the first Liverpool row above (player_code 116535); see that row's note for full sourcing and calculation. Tsimikas: 0 min GW1-2 (Kerkez preferred at LB), status=a, deep rotation option. | tenure_discount added 30 Aug 2026 (TEST RUN, follow-up): Step 4a Manager Tenure Split Check -- 1 red flag: Andoni Iraola confirmed Liverpool head coach for 2026-27 (re-verified LiverpoolFC.com/Sky Sports/ESPN, per existing cs_pct_override rows in this file), replacing Liverpool's prior 2025-26 manager. Consistent with the CS% blend already applied to this club's GK/DEF pool."
